Account,date,total_pnl,avg_pnl,num_trades,pnl_std,total_size_usd,avg_size_usd,total_fees,long_ratio,num_coins,win_rate,net_pnl,short_ratio,classification,value,is_greed,is_fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,-708.8872295584415,462,5734.473080086226,6842632.02,14810.891818181817,1112.89565,0.3008658008658009,2,0.025974025974025976,-328618.795706,0.699134199134199,Greed,74,1,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,574.4146960771752,3356,4509.25681820803,54854631.95,16345.241939809297,6292.416654,0.4684147794994041,2,0.40554231227651966,1921443.303381,0.531585220500596,Fear,44,0,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002,64.39826904062501,320,214.00588685637516,797679.97,2492.74990625,202.16715108,0.453125,2,0.53125,20405.27894192,0.546875,Greed,74,1,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,4.839718951316161,3533,176.8546695708923,5982611.5,1693.3516841211435,1664.91466962,0.4324936314746674,6,0.43504104160769885,15433.812385379999,0.5675063685253325,Fear,44,0,1
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,-0.2,5,0.28678926060785465,30351.0,6070.2,10.197932,0.4,1,0.0,-11.197932,0.6,Neutral,50,0,0
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,358.63204299999995,5,687.2601274797265,159708.30000000002,31941.660000000003,34.662051,0.6,2,0.8,1758.4981639999999,0.4,Greed,74,1,0
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,26.382859345070422,1136,110.84882980936581,12310719.5,10836.90096830986,3644.197056,0.4454225352112676,3,0.43045774647887325,26326.73116,0.5545774647887324,Fear,44,0,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,18.831950867737948,6472,105.02535169179028,3129795.22,483.5901143386898,1079.2967933,0.476823238566131,56,0.4437577255871446,120801.0892227,0.5231767614338689,Greed,74,1,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,1.5359281231969386,6794,120.35238337829021,3622817.7,533.2378127759788,1137.5274581509,0.5307624374448042,64,0.4327347659699735,9297.5682108491,0.4692375625551958,Fear,44,0,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,68.43476991874181,763,369.8834239705992,2244613.0,2941.8256880733943,737.224469,0.399737876802097,18,0.4744429882044561,51478.504979,0.6002621231979031,Greed,74,1,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,47.11139401295022,2471,208.51686847595994,7919556.5600000005,3205.000631323351,2370.023531,0.3528935653581546,32,0.5337919870497774,114042.231075,0.6471064346418454,Fear,44,0,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,0.0,3,0.0,477.0,159.0,0.0,1.0,1,0.0,0.0,0.0,Greed,59,1,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,0.0,2,0.0,46133.87,23066.935,11.072125999999999,1.0,1,0.0,-11.072125999999999,0.0,Greed,69,1,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,-206.07467185185183,27,491.8133748161977,82312.05,3048.5944444444444,3.90258,0.14814814814814814,4,0.3333333333333333,-5567.91872,0.8518518518518519,Extreme Greed,84,1,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,2.696934975,80,9.080898650115833,61379.82,767.24775,37.383029,0.4375,20,0.1,178.371769,0.5625,Neutral,50,0,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011,237.13699366025642,156,711.3520498896353,402974.52999999997,2583.170064102564,13.18020052,0.41025641025641024,15,0.46794871794871795,36980.19081048,0.5897435897435898,Greed,74,1,0
